Week number,DATE,A(H1N1),A(H3N2),A(unknown),B,Positivity (%)*,Influenza 2022-2023 (%),Influenza 2021-2022 (%),Influenza 2020-2021 (%),Influenza 2019-2020 (%),Influenza 2018-2019 (%),Influenza 2017-2018 (%),T2M,QV2M,PRECTOTCORR,WS10M_RANGE,PS,NO,PM2.5,SO,CO
23,04/06/2015,0,0,0,1,0,0,0,0,0,0,0,11.94628571,6.570571429,2.505714286,6.024857143,100.4937143,0.001473261,9.7296,0.005577366,506.718
40,01/10/2015,0,3,5,6,0,0,0,0,0,0,0,11.74028571,6.937142857,0.078857143,2.657714286,102.48,0.005648184,11.686,0.008509125,427.4694286
41,08/10/2015,6,2,21,2,0,0,0,0,0,0,0,12.10685714,7.811714286,3.934857143,3.706857143,100.5037143,0.005648184,11.686,0.008509125,751.1171429
42,15/10/2015,7,0,6,5,0,0,0,0,0,0,0,9.672,6.202857143,0.484285714,3.17,101.4362857,0.005648184,11.686,0.008509125,462.4785714
43,22/10/2015,6,1,5,4,0,0,0,0,0,0,0,10.28714286,6.838571429,1.617714286,3.145142857,101.372,0.005648184,11.686,0.008509125,577.7758571
44,29/10/2015,0,1,12,8,0,0,0,0,0,0,0,9.986285714,7.136285714,1.922857143,3.846,100.736,0.005648184,11.686,0.008509125,668.1677143
45,05/11/2015,1,0,16,3,0,0,0,0,0,0,0,10.81314286,7.872,3.075142857,2.995714286,101.1971429,0.003577301,10.7104,0.006744514,644.1352857
46,12/11/2015,2,2,8,11,0,0,0,0,0,0,0,12.37942857,8.341142857,2.293142857,5.937142857,101.0357143,0.003577301,10.7104,0.006744514,749.537
47,19/11/2015,5,2,12,5,0,0,0,0,0,0,0,10.30371429,6.955428571,3.422,7.300857143,100.3357143,0.003577301,10.7104,0.006744514,803.6722857
48,26/11/2015,3,0,10,9,0,0,0,0,0,0,0,4.294571429,4.844285714,1.878857143,4.148857143,100.5151429,0.003577301,10.7104,0.006744514,703.8421429
49,03/12/2015,3,1,23,13,0,0,0,0,0,0,0,8.636571429,6.433142857,2.858857143,6.326857143,100.6285714,0.002071033,10.718,0.007082028,764.6715714
50,10/12/2015,12,0,16,9,0,0,0,0,0,0,0,9.360571429,6.548571429,1.816571429,5.218857143,101.4042857,0.002071033,10.718,0.007082028,642.2227143
51,17/12/2015,29,2,59,8,0,0,0,0,0,0,0,8.301142857,6.576285714,3.063428571,4.152,100.9737143,0.002071033,10.718,0.007082028,599.7292857
52,24/12/2015,26,0,71,11,0,0,0,0,0,0,0,9.791428571,6.986857143,2.043714286,5.246,100.492,0.002071033,10.718,0.007082028,553.8681429
53,31/12/2015,24,0,92,15,0,0,0,0,0,0,0,9.582571429,6.804857143,3.566857143,5.752571429,100.7977143,0.002071033,10.718,0.007082028,463.7255714
1,07/01/2016,84,3,135,13,0,0,0,0,0,0,0,6.473428571,5.826571429,6.44,6.134857143,98.65085714,0.007444776,13.404,0.007216719,713.4051429
2,14/01/2016,52,2,128,22,0,0,0,0,0,0,0,4.397714286,4.992,3.489428571,4.756,98.77514286,0.007444776,13.404,0.007216719,859.0548571
3,21/01/2016,73,1,163,22,0,0,0,0,0,0,0,0.752285714,3.616857143,0.375428571,3.708285714,101.31,0.007444776,13.404,0.007216719,957.3465714
4,28/01/2016,116,2,333,34,0,0,0,0,0,0,0,7.615428571,6.114571429,2.602,5.787714286,101.0988571,0.007444776,13.404,0.007216719,737.8118571
5,04/02/2016,126,3,370,48,0,0,0,0,0,0,0,6.857428571,5.536857143,1.795714286,5.476571429,100.6148571,0.003560365,13.644,0.006734032,825.1684286
6,11/02/2016,123,3,349,56,0,0,0,0,0,0,0,5.646857143,5.193428571,2.702571429,6.285142857,98.85542857,0.003560365,13.644,0.006734032,826.7067143
7,18/02/2016,98,1,433,58,0,0,0,0,0,0,0,2.222285714,3.987142857,1.897142857,4.497142857,100.236,0.003560365,13.644,0.006734032,815.3558571
8,25/02/2016,104,0,425,83,0,0,0,0,0,0,0,4.723428571,4.814571429,1.136285714,4.348857143,100.4888571,0.003560365,13.644,0.006734032,904.7911429
9,03/03/2016,73,2,472,130,0,0,0,0,0,0,0,3.432857143,4.155714286,2.444285714,4.713142857,100.3657143,0.00337783,16.526,0.005538583,601.6001429
10,10/03/2016,76,2,449,208,0,0,0,0,0,0,0,3.09,4.230857143,4.078857143,5.742,99.75885714,0.00337783,16.526,0.005538583,303.7315714
11,17/03/2016,78,1,595,326,0,0,0,0,0,0,0,4.758857143,4.497428571,0.081142857,3.004,102.3885714,0.00337783,16.526,0.005538583,409.8815714
12,24/03/2016,40,2,404,340,0,0,0,0,0,0,0,5.782571429,4.901142857,0.692571429,3.232285714,101.3211429,0.00337783,16.526,0.005538583,567.8801429
13,31/03/2016,40,4,342,355,0,0,0,0,0,0,0,7.100571429,5.304857143,4.034,5.912857143,99.62485714,0.00337783,16.526,0.005538583,488.3405714
14,07/04/2016,26,0,188,305,0,0,0,0,0,0,0,7.627142857,5.531142857,2.106857143,4.955428571,100.084,0.005964928,14.948,0.007207285,834.6897143
15,14/04/2016,10,2,156,263,0,0,0,0,0,0,0,8.213142857,5.664285714,2.425428571,4.015142857,100.0357143,0.005964928,14.948,0.007207285,754.9421429
16,21/04/2016,4,3,51,174,0,0,0,0,0,0,0,7.088571429,5.028,2.121428571,3.315142857,101.0388571,0.005964928,14.948,0.007207285,476.4904286
17,28/04/2016,1,5,61,125,0,0,0,0,0,0,0,5.493142857,4.396857143,1.731428571,4.581714286,100.7128571,0.005964928,14.948,0.007207285,411.628
18,05/05/2016,2,0,52,105,0,0,0,0,0,0,0,8.724857143,5.329142857,0.516571429,4.129428571,101.3597143,0.002312995,14.108,0.006849332,536.0725714
19,12/05/2016,0,1,37,76,0,0,0,0,0,0,0,14.174,8.239142857,2.069142857,3.311142857,100.0714286,0.002312995,14.108,0.006849332,691.7011429
20,19/05/2016,0,0,20,44,0,0,0,0,0,0,0,11.02914286,6.358571429,0.981142857,3.985714286,100.7254286,0.002312995,14.108,0.006849332,436.0345714
21,26/05/2016,0,0,5,25,0,0,0,0,0,0,0,12.25857143,7.133142857,1.422857143,3.545142857,100.7262857,0.002312995,14.108,0.006849332,435.4108571
22,02/06/2016,0,0,12,11,0,0,0,0,0,0,0,12.60714286,7.561142857,2.523428571,3.290857143,100.9982857,0.003005083,11.392,0.006560558,322.5248571
40,06/10/2016,1,1,8,4,0,0,0,0,0,0,0,11.58771429,6.751428571,1.203428571,4.126571429,101.4494286,0.003093453,10.279,0.00717846,351.8795714
41,13/10/2016,0,1,7,2,0,0,0,0,0,0,0,10.336,6.559714286,1.199428571,2.833714286,101.6082857,0.003093453,10.279,0.00717846,82.61657143
42,20/10/2016,0,0,10,4,0,0,0,0,0,0,0,10.57771429,6.887428571,2.573428571,4.039428571,100.758,0.003093453,10.279,0.00717846,483.8912857
43,27/10/2016,0,4,5,1,0,0,0,0,0,0,0,9.378857143,6.506571429,0.464285714,2.838571429,101.3237143,0.003093453,10.279,0.00717846,381.2338571
44,03/11/2016,0,4,13,4,0,0,0,0,0,0,0,9.315428571,6.75,0.226,2.904857143,101.9982857,0.004648045,10.3372,0.007988179,639.52
45,10/11/2016,0,3,17,2,0,0,0,0,0,0,0,4.498571429,4.848285714,3.501428571,4.870285714,99.94685714,0.004648045,10.3372,0.007988179,335.5807143
46,17/11/2016,1,5,41,3,0,0,0,0,0,0,0,7.926285714,6.213428571,2.332285714,4.966,101.064,0.004648045,10.3372,0.007988179,191.9267143
47,24/11/2016,0,4,22,1,0,0,0,0,0,0,0,5.994285714,5.493714286,6.057714286,6.225714286,99.488,0.004648045,10.3372,0.007988179,441.19
48,01/12/2016,0,9,52,2,0,0,0,0,0,0,0,3.215428571,4.300571429,0.077142857,2.416,102.0708571,0.006448551,14.324,0.006484041,512.3728571
49,08/12/2016,0,19,121,7,0,0,0,0,0,0,0,5.14,5.376,0.489428571,2.501142857,101.794,0.006448551,14.324,0.006484041,451.0444286
50,15/12/2016,0,49,186,8,0,0,0,0,0,0,0,7.945428571,6.464857143,1.873714286,2.785714286,101.3571429,0.006448551,14.324,0.006484041,454.9942857
51,22/12/2016,1,57,348,8,0,0,0,0,0,0,0,5.772285714,5.463714286,0.428,3.056571429,101.9608571,0.006448551,14.324,0.006484041,275.0007143
