-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 01/01/2024 
Location: Latitude  52.2405   Longitude 0.9027 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 49.27 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
WS10M_RANGE             MERRA-2 Wind Speed at 10 Meters Range (m/s) 
PS                      MERRA-2 Surface Pressure (kPa) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,T2M,QV2M,PRECTOTCORR,WS10M_RANGE,PS,ALLSKY_SFC_UV_INDEX
2015,1,1,7.02,5.86,0.83,6.38,101.99,0.02
2015,1,2,6.43,4.94,0.35,8.4,102.11,0.05
2015,1,3,2.75,4.39,12.8,1.98,101.71,0.02
2015,1,4,-0.44,3.54,0.12,1.86,102.78,0.04
2015,1,5,5.39,5.43,0.46,1.65,102.2,0.03
2015,1,6,5.11,5.31,0.87,2.84,101.45,0.03
2015,1,7,4.95,5.07,1.33,6.3,101.61,0.03
2015,1,8,7.21,6.04,6.06,5.87,101.35,0.02
2015,1,9,10.18,7.02,1.06,5.8,100.94,0.03
2015,1,10,7.88,5.55,1.08,9.11,100.58,0.04
2015,1,11,4.09,4.46,0.24,2.28,101.25,0.02
2015,1,12,8.86,6.53,9.63,5.6,100.21,0.04
2015,1,13,6.22,5.43,6.72,5.32,99.52,0.04
2015,1,14,3.73,4.39,2.23,9.66,99.66,0.02
2015,1,15,6.93,5.25,4.68,9.81,98.37,0.03
2015,1,16,2.37,4.21,0.14,8.09,99.74,0.02
2015,1,17,0.55,3.85,1.11,2.89,100.53,0.02
2015,1,18,0.26,3.85,3.98,2.77,100.5,0.03
2015,1,19,-0.14,3.54,0.37,2.8,100.72,0.03
2015,1,20,0.38,3.6,0.66,5.52,100.41,0.05
2015,1,21,1.51,3.85,1.67,4.55,100.28,0.03
2015,1,22,0.08,3.42,0.05,1.88,101.4,0.03
2015,1,23,0.64,3.6,2.35,7.7,101.69,0.05
2015,1,24,2.21,4.15,3.49,3.7,101.81,0.08
2015,1,25,3.26,4.39,0.32,2.58,102.2,0.05
2015,1,26,5.73,5.13,1.27,2.54,101.63,0.06
2015,1,27,4.12,4.7,0.23,2.89,101.82,0.06
2015,1,28,4.88,4.64,1.51,8.1,99.72,0.06
