-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 01/01/2024 
Location: Latitude  51.5082   Longitude 0.126 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 73.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
WS10M_RANGE             MERRA-2 Wind Speed at 10 Meters Range (m/s) 
PS                      MERRA-2 Surface Pressure (kPa) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,T2M,QV2M,PRECTOTCORR,WS10M_RANGE,PS,ALLSKY_SFC_UV_INDEX
2015,1,1,7.34,6.04,0.77,6.04,101.81,0.03
2015,1,2,6.47,5.13,0.47,8.51,101.95,0.05
2015,1,3,3.4,4.7,13.37,5.02,101.38,0.02
2015,1,4,0.48,3.78,0.1,1.7,102.5,0.04
2015,1,5,5.87,5.68,0.41,1.7,101.9,0.03
2015,1,6,5.37,5.43,0.92,3.21,101.2,0.03
2015,1,7,5.08,5.19,1.38,6.96,101.39,0.04
2015,1,8,7.76,6.29,8.36,6.38,101.15,0.02
2015,1,9,10.54,7.26,1.48,4.62,100.84,0.04
2015,1,10,7.8,5.68,0.88,9.38,100.5,0.05
2015,1,11,4.38,4.52,0.19,2.24,101.13,0.04
2015,1,12,9.19,6.77,9.78,3.2,100.04,0.04
2015,1,13,6.1,5.43,8.04,6.59,99.32,0.05
2015,1,14,4.15,4.58,3.28,9.45,99.44,0.03
2015,1,15,6.77,5.37,7.57,9.96,98.2,0.03
2015,1,16,2.07,4.21,0.85,6.96,99.52,0.02
2015,1,17,0.45,3.85,0.86,2.98,100.29,0.03
2015,1,18,0.44,3.91,2.78,2.21,100.22,0.03
2015,1,19,0.05,3.54,0.41,3.55,100.45,0.04
2015,1,20,0.51,3.72,1.56,6.02,100.06,0.04
2015,1,21,1.33,3.97,1.63,5.11,99.89,0.03
2015,1,22,-0.37,3.42,0.06,1.59,101.08,0.03
2015,1,23,0.55,3.66,1.68,7.62,101.44,0.05
2015,1,24,2.07,4.15,3.18,3.79,101.61,0.09
2015,1,25,3.19,4.46,0.28,3.22,101.99,0.06
2015,1,26,5.87,5.25,1.07,2.9,101.43,0.06
2015,1,27,4.16,4.7,0.2,2.54,101.61,0.08
2015,1,28,4.94,4.76,1.73,7.91,99.61,0.06
2015,1,29,1.48,4.03,1.47,2.77,97.55,0.05
2015,1,30,1.34,4.09,2.17,4.57,96.92,0.04
2015,1,31,0.98,3.91,3.09,4.88,97.51,0.04
2015,2,1,0.86,3.54,0.73,7.0,98.93,0.05
2015,2,2,-1.7,2.93,0.14,2.35,99.6,0.07
2015,2,3,0.14,3.66,1.16,3.97,99.84,0.05
2015,2,4,0.62,3.72,0.4,2.05,101.0,0.09
2015,2,5,0.23,3.48,0.85,2.36,101.62,0.09
2015,2,6,0.34,3.23,0.04,4.47,102.15,0.13
2015,2,7,1.81,3.97,0.25,2.88,102.63,0.14
2015,2,8,2.03,4.03,0.09,3.36,102.82,0.16
2015,2,9,3.19,4.52,0.18,2.98,102.48,0.14
2015,2,10,3.23,4.33,0.22,1.67,102.29,0.09
2015,2,11,2.56,4.09,0.26,2.32,101.54,0.07
2015,2,12,1.58,3.78,0.12,3.27,101.05,0.05
2015,2,13,5.25,5.43,5.61,6.8,99.47,0.1
2015,2,14,5.83,5.49,2.63,3.13,99.36,0.09
2015,2,15,5.28,5.13,0.14,3.36,100.42,-999.0
2015,2,16,4.57,5.0,7.05,5.37,100.72,0.17
2015,2,17,2.55,3.78,0.08,3.95,102.59,0.24
2015,2,18,3.16,4.21,0.0,3.5,102.74,0.27
2015,2,19,5.12,5.0,9.01,4.82,101.17,-999.0
2015,2,20,4.05,4.7,1.71,4.8,99.66,0.11
2015,2,21,2.04,4.03,1.32,3.21,99.24,0.16
2015,2,22,2.82,4.39,6.97,10.55,99.31,0.19
2015,2,23,4.08,4.52,0.56,4.62,98.27,0.26
2015,2,24,4.65,4.52,0.4,5.03,99.53,0.17
2015,2,25,6.68,5.43,1.66,4.13,100.53,0.18
2015,2,26,6.9,5.92,5.82,3.98,100.3,0.15
2015,2,27,2.91,3.91,0.05,2.36,100.95,0.27
2015,2,28,6.23,5.74,3.44,6.05,99.86,0.16
2015,3,1,7.27,5.31,0.81,3.85,99.04,0.35
2015,3,2,3.33,4.03,0.38,5.78,99.86,0.28
2015,3,3,3.79,4.21,2.15,4.48,100.64,0.3
2015,3,4,3.52,4.03,0.09,4.73,101.98,0.28
2015,3,5,3.98,4.33,0.02,3.19,102.88,0.34
2015,3,6,5.37,4.82,0.0,4.31,102.46,-999.0
2015,3,7,7.15,5.55,0.03,3.02,101.59,0.43
2015,3,8,7.26,5.92,0.25,3.31,101.41,0.41
2015,3,9,6.61,5.68,0.6,5.87,101.57,0.3
2015,3,10,5.92,4.58,0.01,2.41,102.07,0.53
2015,3,11,5.16,4.64,0.07,4.8,101.95,0.48
2015,3,12,7.01,4.52,0.01,5.84,101.62,0.44
2015,3,13,5.29,4.52,0.02,3.45,101.41,0.41
2015,3,14,4.09,4.03,0.09,2.41,102.03,0.33
2015,3,15,5.0,4.64,1.16,2.91,101.81,0.16
2015,3,16,5.03,4.76,1.51,1.94,101.43,0.25
2015,3,17,6.62,5.43,3.47,3.09,101.6,0.32
2015,3,18,4.73,4.52,0.1,2.37,102.22,0.3
2015,3,19,5.2,4.82,0.15,2.76,102.29,0.18
2015,3,20,6.0,4.82,0.12,4.68,101.77,0.35
2015,3,21,5.87,4.64,0.23,4.74,101.58,0.38
2015,3,22,3.88,4.03,0.04,3.34,101.62,0.32
2015,3,23,4.98,4.52,0.39,2.74,100.67,0.66
2015,3,24,4.97,4.39,1.4,3.06,100.05,0.41
2015,3,25,3.69,3.97,0.22,2.77,100.17,0.43
2015,3,26,6.08,4.82,6.45,5.52,99.67,0.4
2015,3,27,5.94,4.64,0.02,3.58,100.99,0.75
2015,3,28,9.83,6.9,0.99,8.1,100.21,0.55
2015,3,29,9.23,6.41,4.58,8.54,99.05,0.46
2015,3,30,7.18,5.13,2.28,7.04,99.63,0.74
2015,3,31,8.52,4.94,0.66,5.31,99.79,0.91
2015,4,1,5.98,4.46,3.36,3.31,101.17,0.66
2015,4,2,7.05,4.76,2.96,7.09,101.08,0.84
2015,4,3,8.24,6.35,3.1,4.18,100.72,0.61
2015,4,4,6.83,5.25,0.77,6.17,101.25,0.56
2015,4,5,6.33,4.76,0.2,2.32,101.81,0.84
2015,4,6,7.33,5.37,0.05,4.49,102.29,0.66
2015,4,7,9.59,5.55,0.01,1.76,102.69,0.88
2015,4,8,10.39,6.16,0.0,2.9,102.34,0.76
2015,4,9,9.55,5.86,0.05,1.83,101.76,0.76
2015,4,10,10.65,6.35,0.07,3.02,100.89,0.92
2015,4,11,8.74,5.31,1.44,6.71,100.94,0.77
2015,4,12,9.01,5.49,0.24,8.52,101.68,0.84
2015,4,13,8.83,5.86,0.04,3.49,102.13,0.8
2015,4,14,12.05,7.02,0.08,3.4,101.6,1.12
2015,4,15,13.62,7.45,0.01,2.0,100.81,1.03
2015,4,16,10.12,5.8,0.01,2.85,100.64,0.92
2015,4,17,8.52,4.88,0.0,2.54,101.15,0.84
2015,4,18,7.65,4.7,0.0,3.69,101.83,0.84
2015,4,19,6.58,4.76,0.17,3.27,101.54,0.71
2015,4,20,8.71,5.25,0.03,3.32,102.05,1.09
2015,4,21,9.19,5.13,0.01,2.57,102.45,1.2
2015,4,22,9.19,5.74,0.03,4.79,102.08,-999.0
2015,4,23,9.29,5.8,0.07,1.62,101.08,1.05
2015,4,24,10.73,6.65,0.95,4.41,100.23,1.01
2015,4,25,12.11,7.45,4.09,5.33,99.69,0.91
2015,4,26,8.27,5.86,2.44,2.98,99.87,0.52
2015,4,27,7.06,4.27,0.02,3.99,100.19,1.13
2015,4,28,7.02,4.21,0.01,3.09,100.73,1.16
2015,4,29,7.72,5.19,3.04,5.88,100.42,0.84
2015,4,30,7.88,4.88,0.24,4.58,100.23,0.91
2015,5,1,6.73,4.52,0.01,3.91,100.13,1.03
2015,5,2,8.39,5.49,0.43,3.27,100.0,0.9
2015,5,3,12.59,8.12,6.49,4.55,98.95,-999.0
2015,5,4,13.11,7.39,11.41,4.87,99.26,-999.0
2015,5,5,12.7,7.26,2.5,8.82,98.68,1.18
2015,5,6,10.48,6.47,3.5,6.12,99.57,0.98
2015,5,7,10.94,6.16,0.24,4.49,100.68,1.05
2015,5,8,11.7,6.71,0.64,6.15,100.43,1.05
2015,5,9,12.3,6.9,0.8,8.24,100.71,1.01
2015,5,10,12.15,7.02,0.02,4.62,101.38,1.14
2015,5,11,14.51,8.42,0.06,3.51,100.91,1.38
2015,5,12,11.47,6.23,0.6,6.23,101.03,-999.0
2015,5,13,11.26,5.98,0.01,3.82,100.96,1.3
2015,5,14,8.64,6.04,12.2,4.98,100.36,0.5
2015,5,15,10.67,6.04,0.19,3.17,101.15,1.18
2015,5,16,12.61,6.53,0.31,4.04,101.46,1.39
2015,5,17,10.73,5.74,0.01,2.92,101.49,1.48
2015,5,18,10.22,6.35,6.74,6.3,99.75,0.86
2015,5,19,8.87,5.49,2.33,4.62,99.61,1.09
2015,5,20,9.26,5.55,1.22,3.46,100.77,-999.0
2015,5,21,11.64,6.35,0.04,2.62,101.65,-999.0
2015,5,22,13.34,7.87,0.39,2.11,101.57,1.18
2015,5,23,13.46,7.75,0.21,2.42,101.48,0.81
2015,5,24,13.62,7.87,0.63,2.73,101.07,1.22
2015,5,25,11.44,6.29,0.04,2.64,101.02,1.18
2015,5,26,12.86,6.84,0.01,1.93,101.39,1.39
2015,5,27,12.14,6.41,0.09,4.34,101.28,1.59
2015,5,28,12.4,6.1,0.02,3.87,100.51,1.45
2015,5,29,10.33,6.16,5.81,8.12,99.95,0.88
2015,5,30,11.07,5.74,0.14,1.51,100.44,1.27
2015,5,31,12.3,7.26,4.91,5.33,99.88,0.71
2015,6,1,10.3,5.86,1.43,8.88,100.32,1.28
2015,6,2,14.3,8.42,3.0,7.87,99.67,0.78
2015,6,3,13.54,6.59,0.03,4.95,101.24,1.49
2015,6,4,14.48,7.14,0.02,5.13,101.48,1.7
2015,6,5,16.47,9.09,3.21,3.59,100.73,1.34
2015,6,6,12.29,5.92,0.0,4.74,101.6,-999.0
2015,6,7,12.77,6.1,0.0,1.69,102.25,1.8
2015,6,8,12.24,5.98,0.07,4.52,102.37,-999.0
2015,6,9,10.64,5.31,0.04,3.06,102.32,1.33
2015,6,10,12.03,6.23,0.06,2.65,101.89,1.36
2015,6,11,15.21,7.69,0.06,2.48,100.99,1.77
2015,6,12,17.31,10.07,1.41,5.08,100.03,1.45
2015,6,13,15.57,9.46,2.31,5.01,100.03,0.62
2015,6,14,14.33,8.54,0.85,3.13,100.43,0.77
2015,6,15,13.2,6.53,0.18,3.48,101.26,1.65
2015,6,16,15.42,7.51,0.0,2.87,101.59,1.6
2015,6,17,17.77,9.95,1.5,5.3,101.32,-999.0
2015,6,18,15.4,7.57,0.05,2.36,101.15,1.74
2015,6,19,14.51,7.2,0.01,2.75,101.23,1.27
2015,6,20,14.69,8.97,7.19,2.77,101.15,1.27
2015,6,21,15.21,7.87,0.22,2.18,100.67,1.39
2015,6,22,13.18,7.2,3.88,2.8,100.2,1.25
2015,6,23,14.17,7.26,0.16,5.14,100.85,1.3
2015,6,24,16.03,8.12,0.07,2.73,101.14,1.49
2015,6,25,16.95,8.3,0.01,2.98,101.21,1.52
2015,6,26,17.46,9.4,0.11,5.16,100.8,1.57
2015,6,27,17.39,8.67,0.04,2.93,101.02,-999.0
2015,6,28,16.58,8.97,0.4,3.86,101.02,1.34
2015,6,29,17.25,8.36,0.01,1.94,101.27,1.7
2015,6,30,18.76,9.16,0.01,3.82,101.03,-999.0
2015,7,1,23.2,12.33,0.05,4.35,100.42,1.66
2015,7,2,18.37,10.56,2.37,5.82,101.04,1.13
2015,7,3,18.46,10.25,3.43,4.12,101.41,-999.0
2015,7,4,20.06,10.44,0.33,5.58,100.91,1.98
2015,7,5,16.61,8.61,6.66,6.84,100.89,0.96
2015,7,6,16.56,8.12,0.06,3.61,100.94,1.66
2015,7,7,16.95,8.61,0.62,6.75,100.03,1.52
