YEAR,MO,DY,T2M,QV2M,PRECTOTCORR,WS10M_RANGE,PS
2015,1,1,6.34,5.68,1.33,6.62,102.08
2015,1,2,6.15,4.82,0.64,7.57,102.16
2015,1,3,2.57,4.27,9.08,5.04,101.91
2015,1,4,-0.8,3.36,0.15,2.97,102.95
2015,1,5,4.26,5,0.46,1.33,102.4
2015,1,6,4.8,5.19,0.78,2.93,101.6
2015,1,7,4.54,4.88,1.27,6.59,101.72
2015,1,8,6.84,5.86,2.25,5.73,101.44
2015,1,9,9.78,6.84,1.24,5.27,100.93
2015,1,10,7.86,5.49,0.97,8.62,100.55
2015,1,11,3.65,4.33,0.42,1.63,101.26
2015,1,12,8.58,6.41,9.99,8.76,100.27
2015,1,13,6.07,5.37,8.03,4.45,99.62
2015,1,14,2.87,4.21,2.22,8.34,99.8
2015,1,15,6.73,5.19,4.36,6.95,98.42
2015,1,16,2.21,4.09,0.08,8.46,99.86
2015,1,17,0,3.6,2.64,3.38,100.67
2015,1,18,0.02,3.78,2.53,3,100.71
2015,1,19,-0.65,3.48,0.36,1.73,100.92
2015,1,20,-0.17,3.48,0.17,4.79,100.67
2015,1,21,1.3,3.72,0.46,3.49,100.59
2015,1,22,-0.11,3.23,0.01,2.38,101.65
2015,1,23,0.3,3.48,2.73,8.11,101.87
2015,1,24,1.91,4.09,4.29,3.91,101.9
2015,1,25,3.04,4.33,0.58,1.91,102.33
2015,1,26,5.38,5.07,1.24,3.03,101.73
2015,1,27,3.68,4.64,0.19,3.35,101.95
2015,1,28,4.38,4.52,1.73,7.51,99.72
2015,1,29,1.03,3.85,2.01,5.7,97.73
2015,1,30,0.58,3.91,0.43,3.73,97.22
2015,1,31,1.07,3.97,3.9,7.45,97.79
2015,2,1,2.12,4.09,4.48,5.02,99.09
2015,2,2,-1.09,3.23,1.13,4.31,99.93
2015,2,3,1.25,3.85,1.48,4.03,100.34
2015,2,4,1.73,4.03,0.9,3.37,101.42
2015,2,5,1.42,3.48,0.75,3.99,102.19
2015,2,6,0.55,3.17,0.01,4.48,102.84
2015,2,7,3.01,4.39,0.52,3.62,103.15
2015,2,8,4.17,4.39,0.14,4.67,103.21
2015,2,9,3.48,4.52,0.29,3.66,102.91
2015,2,10,3.42,4.39,0.19,2.17,102.83
2015,2,11,3.08,4.15,0.36,2.57,102.1
2015,2,12,1.8,3.85,0.58,2.8,101.58
2015,2,13,4.76,5.07,1.4,7.09,100.18
2015,2,14,6.76,5.62,0.53,3.56,100.09
2015,2,15,5.11,5,0.08,2.48,101.01
2015,2,16,5.19,5.07,3.75,4.8,101.23
2015,2,17,3.2,3.85,0.42,3.4,102.98
2015,2,18,3.5,4.09,0.01,4.38,103.13
2015,2,19,5.29,4.82,7.39,5.56,101.55
2015,2,20,4.15,4.64,2.17,3.5,100.09
2015,2,21,2.05,3.97,1.08,3.13,99.58
2015,2,22,2.74,4.15,6.26,11.05,99.69
2015,2,23,3.98,4.27,0.19,4.05,98.52
2015,2,24,4.27,4.21,0.53,4.13,99.73
2015,2,25,5.01,4.88,0.78,4.75,100.97
2015,2,26,6.69,5.74,8.79,3.78,100.65
2015,2,27,2.72,3.72,0.02,3.19,101.33
2015,2,28,5.49,5.31,2.19,6.74,100.27
2015,3,1,7.15,4.94,0.99,4.41,99.21
2015,3,2,3.09,3.66,0.06,5.64,100.05
2015,3,3,2.69,3.72,0.78,3.12,100.94
2015,3,4,3.4,3.97,0.1,5.86,102.25
2015,3,5,5.26,4.33,0.05,3.75,103.25
2015,3,6,6.09,4.7,0,3.36,102.82
2015,3,7,7.7,5.25,0.01,2.71,101.91
2015,3,8,6.8,5.62,0.7,4.2,101.79
2015,3,9,6.59,5.37,0.95,7.62,102.01
2015,3,10,5.76,4.27,0.01,3.41,102.55
2015,3,11,4.29,3.91,0.03,5.56,102.54
2015,3,12,5.94,4.33,0,6.24,102.27
2015,3,13,5.15,4.52,0,2.7,102.1
2015,3,14,4.23,4.09,0.15,3.62,102.67
2015,3,15,5.19,4.76,0.77,3.12,102.47
2015,3,16,5.48,4.76,0.58,3.66,102.06
2015,3,17,5.52,5,1.09,4.57,102.21
2015,3,18,5.61,4.88,0.3,2.66,102.74
2015,3,19,5.93,5,0.46,2.92,102.8
2015,3,20,6.48,5.07,0.34,3.79,102.24
2015,3,21,5.5,4.7,0.6,5.86,102.04
2015,3,22,4.16,3.91,0.27,2.62,102.18
2015,3,23,5.21,4.64,0.41,3.85,101.08
2015,3,24,5.44,4.7,1.28,3.16,100.49
2015,3,25,3.88,4.21,0.38,5.81,100.63
2015,3,26,4.92,4.64,9.02,7.07,100.01
2015,3,27,5.73,4.15,0.01,6.65,101.34
2015,3,28,9.12,6.59,1.63,9.09,100.51
2015,3,29,8.6,5.98,6.23,8.01,99.18
2015,3,30,6.8,4.64,7.51,6.59,99.82
2015,3,31,7.98,4.58,0.75,4.84,99.78
2015,4,1,6.14,4.21,1.92,5.41,101.31
2015,4,2,5.94,4.03,0.66,6.63,101.52
2015,4,3,5.24,5.07,3.53,5.27,101.36
2015,4,4,5.88,4.76,1.29,5.02,101.8
2015,4,5,7.01,4.76,0.11,2.27,102.32
2015,4,6,6.08,5,0.09,4.57,102.82
2015,4,7,7.55,5.31,0,2.51,103.21
2015,4,8,8.44,5.49,0.03,2.37,102.96
2015,4,9,8.19,5.43,0.17,2.36,102.32
2015,4,10,9.13,5.68,0.01,3.55,101.44
2015,4,11,8.38,5.13,1.65,6.27,101.28
2015,4,12,8.58,4.94,0.9,8.18,102.02
2015,4,13,8.32,5.13,0.04,3.16,102.59
2015,4,14,12.11,6.77,0.07,3.8,101.96
2015,4,15,12.62,7.02,0.06,4.19,101.28
2015,4,16,8.48,5,0.02,3.06,101.31
2015,4,17,7.74,4.76,0.01,3.34,101.82
2015,4,18,6.98,4.64,0,2.95,102.5
2015,4,19,6.87,4.88,1.11,3.41,102.06
2015,4,20,8.2,5.25,0.01,2.55,102.67
2015,4,21,8.23,5.25,0,2.95,103.06
2015,4,22,8.01,5.74,0.06,3.79,102.68
2015,4,23,8.1,5.31,0.04,1.98,101.64
2015,4,24,11.12,6.59,0.2,3.47,100.61
2015,4,25,11.82,7.2,5.44,4.61,100.08
2015,4,26,7.39,4.76,3.87,2.44,100.42
2015,4,27,6.66,3.78,0.13,3.81,100.68
2015,4,28,7.01,4.03,0.16,4.67,101.06
2015,4,29,7.67,5,4.36,7.67,100.8
2015,4,30,6.84,4.76,0.84,5.11,100.65
2015,5,1,5.59,4.21,0.01,2.84,100.75
2015,5,2,7.48,4.88,0.03,4.53,100.69
2015,5,3,12.18,7.87,11.09,2.2,99.43
2015,5,4,12.99,6.96,5.09,3.48,99.79
2015,5,5,13.2,7.2,5.73,8.69,99.03
2015,5,6,10.63,6.41,2.7,6.75,99.85
2015,5,7,10.56,6.35,1.39,4.29,101.08
2015,5,8,11.51,6.41,0.58,5.51,100.97
2015,5,9,12,6.53,0.55,10.55,101.02
2015,5,10,11.91,6.65,0,5.32,101.86
2015,5,11,15.33,8.54,0.06,3.05,101.3
2015,5,12,11.9,5.98,1.25,5.34,101.36
2015,5,13,10.24,5.62,0.02,2.15,101.51
2015,5,14,8.25,5.37,0.3,5.02,101.05
2015,5,15,9.9,5.25,0.03,3.77,101.61
2015,5,16,12.23,6.1,0.85,5.55,101.82
2015,5,17,11.07,5.62,0.05,4.09,101.87
2015,5,18,10.08,6.23,10.81,5.6,100.08
2015,5,19,8.5,5.49,2.12,5.56,99.9
2015,5,20,9.36,5.49,0.82,3.95,101.1
2015,5,21,11.81,6.23,0.03,2.89,102.03
2015,5,22,14.3,8,0.44,2.1,101.98
2015,5,23,11.88,6.59,0.16,3.27,102.03
2015,5,24,12.15,7.39,1.53,2.91,101.51
2015,5,25,11.14,6.04,0.18,4.9,101.43
