-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 01/01/2024 
Location: Latitude  53.8799   Longitude -1.415 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 74.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
WS10M_RANGE             MERRA-2 Wind Speed at 10 Meters Range (m/s) 
PS                      MERRA-2 Surface Pressure (kPa) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,T2M,QV2M,PRECTOTCORR,WS10M_RANGE,PS,ALLSKY_SFC_UV_INDEX
2015,1,1,9.39,6.9,1.49,7.38,100.66,0.02
2015,1,2,5.03,4.33,0.15,6.8,101.29,0.03
2015,1,3,1.8,4.09,3.11,5.09,101.23,0.02
2015,1,4,-0.6,3.48,0.09,1.7,102.19,0.03
2015,1,5,3.54,4.82,0.27,1.78,101.49,0.03
2015,1,6,4.39,4.94,0.43,4.43,100.72,0.02
2015,1,7,4.85,5.19,1.12,8.73,100.44,0.02
2015,1,8,5.36,5.0,0.3,5.4,100.53,0.02
2015,1,9,9.27,6.29,1.98,6.74,99.74,0.02
2015,1,10,6.45,5.0,1.15,6.29,99.54,0.03
2015,1,11,4.51,4.46,0.8,2.03,100.26,0.02
2015,1,12,5.99,5.07,1.61,9.85,99.15,0.02
2015,1,13,2.15,4.09,0.96,2.95,98.72,0.02
2015,1,14,1.93,4.03,3.47,8.81,98.57,0.02
2015,1,15,4.96,4.58,3.22,6.14,97.01,0.02
2015,1,16,1.86,3.91,0.24,6.66,99.03,0.02
2015,1,17,0.93,3.91,1.53,2.77,99.72,0.02
2015,1,18,-0.06,3.66,1.37,4.31,100.18,0.02
2015,1,19,0.14,3.72,1.01,3.46,100.32,0.02
2015,1,20,-0.79,3.48,0.2,3.89,99.93,0.03
2015,1,21,0.07,3.78,3.97,3.83,99.92,0.02
2015,1,22,-0.06,3.42,0.13,1.82,101.15,0.02
2015,1,23,0.11,3.66,2.43,6.09,100.85,0.04
2015,1,24,1.58,4.03,0.01,2.23,101.31,0.05
2015,1,25,4.06,4.88,0.17,2.7,101.45,0.04
2015,1,26,4.44,4.88,1.1,3.62,101.12,0.05
2015,1,27,4.53,4.88,0.26,2.34,101.22,0.04
2015,1,28,3.98,4.52,3.07,7.9,98.65,0.05
2015,1,29,0.76,3.78,1.93,9.06,96.87,0.02
2015,1,30,0.32,3.85,0.35,5.39,96.6,0.03
2015,1,31,1.71,3.85,3.08,7.73,97.44,0.02
2015,2,1,0.51,3.42,1.84,7.53,98.96,0.03
2015,2,2,-1.1,3.23,0.28,1.5,99.53,0.05
2015,2,3,0.29,3.66,1.25,2.22,100.09,0.05
2015,2,4,0.65,3.72,0.91,2.55,101.19,0.05
2015,2,5,0.76,3.78,1.15,2.78,101.86,0.05
2015,2,6,0.76,3.6,0.09,1.52,102.52,0.11
2015,2,7,1.83,4.15,0.11,2.64,102.82,0.09
2015,2,8,2.1,4.03,0.08,2.66,102.81,0.12
2015,2,9,3.8,4.7,0.05,3.87,102.4,0.13
2015,2,10,2.0,4.27,0.18,1.4,102.17,0.09
2015,2,11,0.96,3.85,0.14,2.37,101.44,0.05
2015,2,12,1.18,3.78,0.12,2.58,100.85,0.09
2015,2,13,3.1,4.7,2.22,4.47,99.23,0.06
2015,2,14,5.86,5.49,0.83,2.67,99.67,0.05
2015,2,15,4.86,5.0,0.19,2.8,100.49,0.1
2015,2,16,3.51,4.64,4.72,4.4,100.48,0.09
2015,2,17,2.59,4.03,0.02,4.4,102.31,0.16
