-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 01/01/2024 
Location: Latitude  50.9434   Longitude -1.3095 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 62.04 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
WS10M_RANGE             MERRA-2 Wind Speed at 10 Meters Range (m/s) 
PS                      MERRA-2 Surface Pressure (kPa) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,T2M,QV2M,PRECTOTCORR,WS10M_RANGE,PS,ALLSKY_SFC_UV_INDEX
2015,1,1,8.94,6.65,2.16,5.84,101.99,0.03
2015,1,2,6.79,5.37,0.72,8.84,102.23,0.06
2015,1,3,5.99,5.62,11.57,6.16,101.48,0.04
2015,1,4,2.63,4.33,0.23,2.67,102.63,0.04
2015,1,5,7.05,6.04,0.58,2.46,102.01,0.04
2015,1,6,6.21,5.68,0.99,4.2,101.38,0.05
2015,1,7,6.34,5.43,4.08,6.62,101.57,0.04
2015,1,8,8.7,6.53,9.08,6.27,101.39,0.05
2015,1,9,10.99,7.57,2.56,4.55,101.19,0.05
2015,1,10,7.85,5.86,1.07,9.58,100.88,0.05
2015,1,11,4.92,4.82,0.24,2.96,101.47,0.04
2015,1,12,9.83,7.02,11.53,3.34,100.26,0.04
2015,1,13,5.98,5.43,8.95,5.77,99.55,0.05
2015,1,14,5.3,5.0,8.95,10.28,99.6,0.04
2015,1,15,6.58,5.43,9.92,11.0,98.43,0.04
2015,1,16,2.68,4.33,1.14,4.37,99.73,0.04
2015,1,17,1.63,4.03,0.72,2.97,100.48,0.04
2015,1,18,1.69,4.09,1.9,2.7,100.4,0.04
2015,1,19,0.77,3.6,0.17,4.52,100.63,0.03
2015,1,20,1.8,3.97,4.16,7.37,100.09,0.05
2015,1,21,3.62,4.7,3.54,3.79,99.86,0.03
2015,1,22,0.86,3.72,0.1,1.38,101.21,0.05
2015,1,23,1.8,4.03,1.52,7.38,101.6,0.07
2015,1,24,2.94,4.33,1.18,3.86,101.89,0.1
2015,1,25,3.87,4.76,0.29,3.16,102.21,0.09
2015,1,26,6.22,5.43,0.95,2.6,101.7,0.09
2015,1,27,4.62,4.88,0.13,2.44,101.86,0.09
2015,1,28,5.5,5.07,1.04,7.27,99.95,0.08
2015,1,29,2.34,4.33,1.55,2.66,97.87,0.05
2015,1,30,2.52,4.39,1.49,4.89,97.19,0.05
2015,1,31,2.25,4.21,1.37,4.94,97.85,0.04
2015,2,1,1.3,3.6,0.13,6.88,99.31,0.05
2015,2,2,-0.83,3.3,0.05,1.39,99.83,0.08
2015,2,3,0.18,3.66,1.55,4.09,100.01,0.05
2015,2,4,0.5,3.66,0.14,1.31,101.22,0.09
2015,2,5,0.44,3.66,0.38,1.43,101.77,0.1
2015,2,6,0.18,3.36,0.07,4.11,102.22,0.13
2015,2,7,1.33,3.91,0.09,3.18,102.78,0.16
2015,2,8,2.02,4.09,0.04,2.95,103.05,0.2
2015,2,9,2.55,4.39,0.19,2.44,102.69,0.12
2015,2,10,3.01,4.33,0.33,1.76,102.39,0.09
2015,2,11,3.9,4.27,0.25,2.12,101.62,0.09
2015,2,12,2.93,4.03,0.15,4.66,101.15,0.11
2015,2,13,6.24,5.74,9.22,9.24,99.42,0.1
2015,2,14,5.75,5.43,1.08,4.23,99.41,0.11
2015,2,15,5.12,5.13,0.14,3.79,100.53,0.16
2015,2,16,4.99,5.25,7.27,5.41,100.86,0.1
2015,2,17,2.81,3.91,0.03,4.15,102.82,0.24
2015,2,18,4.0,4.46,0.01,3.34,102.91,0.27
2015,2,19,6.53,5.49,10.62,5.29,101.3,0.19
